,20x20_lattice,50x50_lattice,100x100_lattice
0,0.0,0.0,0.0
1,0.2,0.46,0.6
2,0.36,0.72,1.08
3,0.36,1.06,1.34
4,0.66,1.24,1.44
5,0.8,1.42,1.88
6,0.9,1.46,2.16
7,1.4,1.94,2.54
8,1.4,2.12,2.66
9,1.42,2.42,3.16
10,1.66,2.62,3.32
11,2.0,3.16,3.78
12,2.42,3.18,4.88
13,2.3,3.94,4.74
14,2.36,3.76,5.3
15,2.76,5.26,6.58
16,2.98,4.58,6.86
17,3.3,6.6,7.46
18,3.58,5.68,8.66
19,4.74,6.42,9.96
20,4.9,7.72,11.42
21,5.22,9.36,11.7
22,7.94,11.02,14.36
23,7.08,12.54,15.42
24,8.72,12.7,19.26
25,10.12,16.56,19.66
26,10.66,17.2,22.56
27,11.06,17.12,29.08
28,13.46,27.3,36.1
29,16.22,28.58,37.02
30,19.78,34.18,44.12
31,22.16,37.86,50.64
32,20.82,46.84,66.74
33,29.46,56.54,99.12
34,27.6,60.3,99.6
35,40.08,125.72,131.54
36,49.08,125.68,217.98
37,46.38,149.76,281.6
38,62.54,223.34,441.14
39,70.04,243.92,919.06
40,74.08,361.44,1193.62
41,87.72,507.86,1999.94
42,87.32,652.02,2528.24
43,109.28,776.38,2964.9
44,120.52,798.08,3667.52
45,121.24,884.2,3971.2
46,128.16,986.52,4164.36
47,156.98,1031.66,4382.4
48,157.24,1120.82,4555.22
49,167.74,1137.94,4703.52
50,172.46,1192.38,4861.46
51,181.16,1223.58,5005.08
52,191.02,1255.2,5105.8
53,199.82,1295.62,5215.8
54,205.58,1328.18,5326.9
55,210.2,1356.38,5447.32
56,219.44,1380.96,5552.74
57,221.1,1410.6,5673.3
58,223.08,1435.74,5762.14
59,229.68,1462.02,5883.22
60,237.72,1492.54,5975.34
61,242.02,1510.34,6095.98
62,244.02,1544.02,6184.0
63,249.2,1569.08,6280.24
64,253.72,1598.74,6384.44
65,259.3,1621.36,6491.64
66,260.12,1651.5,6603.46
67,265.1,1670.66,6698.7
68,269.9,1694.88,6792.06
69,274.86,1725.28,6897.54
70,280.14,1744.8,6998.24
71,283.08,1771.22,7091.32
72,290.3,1796.7,7196.18
73,292.2,1824.66,7302.1
74,295.38,1848.74,7400.92
75,300.3,1873.8,7490.08
76,305.2,1900.76,7596.96
77,305.82,1923.72,7708.72
78,309.02,1950.94,7802.02
79,316.3,1972.7,7905.24
80,320.8,1998.02,7998.04
81,322.66,2024.7,8102.16
82,328.2,2045.86,8205.72
83,331.08,2076.94,8301.92
84,336.5,2099.28,8402.56
85,339.06,2123.8,8498.92
86,344.2,2146.3,8609.16
87,346.58,2173.76,8702.28
88,352.64,2201.2,8805.32
89,355.86,2225.1,8902.14
90,361.0,2252.08,8996.06
91,364.14,2275.2,9101.08
92,367.3,2298.34,9204.14
93,372.18,2328.1,9301.88
94,376.14,2349.32,9402.66
95,379.92,2374.66,9497.08
96,383.96,2401.6,9600.76
97,387.46,2426.02,9701.04
98,392.12,2448.28,9799.24
99,395.88,2474.5,9900.78
